"BehaviorSpace results (NetLogo 6.3.0)"
"Env_Aw_English.nlogo"
"experiment-High"
"11/13/2023 20:12:00:741 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","sociability_range_type","recyc_perc_g3","sociability_max","humanos_grupo1","humanos_grupo2","learning_rate","humanos_grupo3","show_eco_level?","desplazamiento_max","selected_campaign","desv_est_res","media_res","media_campaign_strength","recyc_perc_g1","change_sociability_behavior?","recyc_perc_g2","campaign_size","media_campaign_frequency","[step]","eco_level_pop"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","53","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","54","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","55","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","56","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","57","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","58","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","59","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","60","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","61","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","62","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","63","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","64","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","65","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","66","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","67","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","68","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","69","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","70","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","71","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","72","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","73","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","74","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","75","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","76","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","77","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","78","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","79","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","80","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","81","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","82","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","83","0"
